problem_id,concept_id,question_text,image_url,problem_type,choice_1,choice_2,choice_3,choice_4,correct_answer,difficulty
709,825,잘 쌓을 수 있는 모양으로 가장 알맞은 것은?,,MCQ,공 모양,상자 모양,둥근 면만 있는 모양,알 수 없다,2,-3
710,825,공 모양을 쌓기 어려운 이유로 알맞은 것은?,,MCQ,평평한 면이 없어서,너무 가벼워서,색이 같아서,둥글지 않아서,1,0
711,825,"탑의 맨 위에 둥근기둥을 옆으로 눕혀 놓았다면, 탑은 어떻게 될까요?",,MCQ,굴러 떨어진다,더 잘 쌓인다,변화 없다,무거워진다,1,3
712,1094,다음 중 둥근 면을 가진 모양은?,,MCQ,상자,공,책,액자,2,-3
713,1094,상자 모양의 특징은?,,MCQ,평평한 면이 6개,둥근 면이 있다,평평한 면이 1개,굴러간다,1,0
714,1094,다음 모양 중 평평한 면과 둥근 면을 모두 가진 것은?,,MCQ,상자,공,둥근기둥,책,3,3
715,1095,공 모양으로 탑을 쌓을 때 알맞은 설명은?,,MCQ,잘 쌓을 수 있다,잘 쌓이지 않고 굴러간다,평평하게 쌓인다,두 개씩만 쌓인다,2,-3
716,1095,둥근기둥과 상자를 함께 쌓을 때 가장 안정적인 방법은?,,MCQ,둥근기둥을 옆으로 놓고 그 위에 상자,상자를 아래에 놓고 그 위에 둥근기둥을 세워서,공만 가장 아래,모양을 섞지 않는다,2,0
717,1095,큰 상자 위에 작은 공을 올렸을 때 알맞은 모습은?,,MCQ,공이 굴러 떨어질 수 있다,공이 변형된다,항상 안정적이다,상자가 부서진다,1,3
718,1861,3과 4를 모으면 모두 얼마인가요?,,MCQ,5,6,7,8,3,-3
719,1861,8을 두 수로 가르려고 합니다. 한 수가 3일 때 다른 수는?,,MCQ,4,5,6,11,2,0
720,1861,5와 4를 모은 수에서 2를 가르면 얼마가 남나요?,,MCQ,5,6,7,9,3,3
721,1860,2+3은 얼마인가요?,,MCQ,4,5,6,7,2,-3
722,1860,9에서 4를 빼면 얼마인가요?,,MCQ,4,5,6,13,2,0
723,1860,6+2와 같은 수가 되는 식은?,,MCQ,4+3,5+3,7+2,9-2,2,3
724,1291,"연필이 색연필보다 길고, 색연필이 지우개보다 깁니다. 가장 짧은 것은?",,MCQ,연필,색연필,지우개,모두 같다,3,-3
725,1291,책상의 길이가 의자의 길이보다 깁니다. 책상과 의자 중 짧은 것은?,,MCQ,책상,의자,같다,모름,2,0
726,1291,"가는 5만큼 길고, 나는 7만큼 길고, 다는 6만큼 깁니다. 가장 긴 것은?",,MCQ,가,나,다,모두 같다,2,3
727,1294,큰 그릇과 작은 그릇 중 더 많이 담을 수 있는 것은?,,MCQ,큰 그릇,작은 그릇,같다,알 수 없다,1,-3
728,1294,컵에 물을 가득 채우려고 합니다. 물을 가장 많이 담을 수 있는 그릇은?,,MCQ,종이컵,양동이,숟가락,빨대,2,0
729,1294,"같은 컵으로 물병에 물을 부으니 5컵, 주전자에는 7컵이 들어갔습니다. 물을 더 많이 담을 수 있는 것은?",,MCQ,물병,주전자,같다,모름,2,3
730,4,10개씩 묶음 2개와 낱개 5개로 이루어진 수는?,,MCQ,25,52,250,7,1,-3
731,4,37에서 10개씩 묶음의 수는?,,MCQ,3,7,30,37,1,0
732,4,10개씩 묶음 4개와 낱개 8개를 모두 더한 수와 같은 것은?,,MCQ,48,84,480,12,1,3
733,22,23 바로 다음 수는?,,MCQ,22,24,25,32,2,-3
734,22,35와 37 사이에 있는 수는?,,MCQ,34,36,38,40,2,0
735,22,48 바로 앞의 수와 49 바로 뒤의 수는 각각 무엇입니까?,,MCQ,47과 50,49와 50,47과 51,49와 51,1,3
736,23,36과 27 중 더 큰 수는?,,MCQ,36,27,같다,모름,1,-3
737,23,10개씩 묶음 3개와 낱개 5개인 수와 10개씩 묶음 4개와 낱개 1개인 수 중 더 큰 수는?,,MCQ,35,41,같다,알 수 없다,2,0
738,23,다음 중 가장 큰 수는?,,MCQ,29,32,18,35,4,3
739,24,줄을 선 사람 중 앞에서부터 첫 번째 사람을 무엇이라고 합니까?,,MCQ,첫째,둘째,셋째,마지막,1,-3
740,24,"다섯 사람이 줄을 섰을 때, 앞에서부터 셋째는 뒤에서부터 몇째입니까?",,MCQ,셋째,둘째,넷째,다섯째,1,0
741,24,"일곱 명이 줄을 섰을 때, 앞에서부터 다섯째는 뒤에서부터 몇째입니까?",,MCQ,둘째,셋째,넷째,다섯째,2,3
742,25,아무것도 없는 것을 나타내는 수는?,,MCQ,0,1,10,100,1,-3
743,25,3에서 3을 빼면 얼마가 됩니까?,,MCQ,0,1,3,6,1,0
744,25,사탕 5개를 모두 먹었을 때 남은 사탕의 수는?,,MCQ,0,1,4,5,1,3
745,36,'2+3=5'를 바르게 읽은 것은?,,MCQ,2 더하기 3은 5와 같다,2 빼기 3은 5와 같다,2와 3은 5가 아니다,2 곱하기 3은 5다,1,-3
746,36,'4 더하기 5는 9와 같다'를 식으로 바르게 쓴 것은?,,MCQ,4-5=9,4+5=9,4=5+9,4+9=5,2,0
747,36,다음 중 덧셈 기호 '+'와 등호 '='를 모두 바르게 사용한 식은?,,MCQ,3-2=5,3+4 5,3+2=5,3 2 5,3,3
748,33,사과 3개와 사과 2개를 합하면 모두 몇 개입니까?,,MCQ,4,5,6,7,2,-3
749,33,동그라미 4개를 그리고 그 옆에 3개를 더 그렸습니다. 모두 몇 개입니까?,,MCQ,6,7,8,9,2,0
750,33,별 모양 2개와 별 모양 5개를 더하면 별은 모두 몇 개가 됩니까?,,MCQ,5,6,7,8,3,3
751,32,1과 4를 모으면 얼마가 됩니까?,,MCQ,3,4,5,6,3,-3
752,32,3과 4를 모은 수와 같은 식은?,,MCQ,3+4,3-4,4-3,4-1,1,0
753,32,6은 어떤 두 수로 모을 수 있습니까?,,MCQ,2와 3,3와 4,2와 4,1와 4,3,3
754,37,'7-2=5'를 바르게 읽은 것은?,,MCQ,7 더하기 2는 5,7 빼기 2는 5,7과 2는 5,7과 5는 같다,2,-3
755,37,'9 빼기 4는 5와 같다'를 식으로 쓰면?,,MCQ,9+4=5,9-4=5,9=4+5,9-5=4,2,0
756,37,다음 중 뺄셈 기호와 등호를 모두 바르게 사용한 식은?,,MCQ,5+3=2,5 3 2,5-3=2,5-3 2,3,3
757,34,새 6마리 중에서 2마리가 날아갔습니다. 남은 새는 몇 마리입니까?,,MCQ,3,4,5,8,2,-3
758,34,풍선 8개 중 3개가 터졌습니다. 남은 풍선은 몇 개입니까?,,MCQ,3,4,5,11,3,0
759,34,사탕 9개에서 4개를 먹고 그중 1개를 더 동생에게 주었습니다. 남은 사탕은 몇 개입니까?,,MCQ,3,4,5,6,2,3
760,35,7을 4와 어떤 수로 가를 수 있습니까?,,MCQ,2,3,4,5,2,-3
761,35,8을 3과 어떤 수로 가를 수 있습니까?,,MCQ,4,5,6,11,2,0
762,35,9-6의 답을 가르기로 구하면? (9=6+□),,MCQ,2,3,4,15,2,3
763,38,5+0의 값은?,,MCQ,0,1,5,10,3,-3
764,38,0+7과 같은 값은?,,MCQ,0,7,14,17,2,0
765,38,다음 중 답이 같지 않은 식은?,,MCQ,3+0,0+3,3+1,2+1,3,3
766,39,6-0의 값은?,,MCQ,0,1,6,60,3,-3
767,39,7-7의 값은?,,MCQ,0,1,7,14,1,0
768,39,다음 중 답이 0이 되는 식은?,,MCQ,5-3,4-0,6-6,8-1,3,3
769,1,9보다 1 큰 수는?,,MCQ,8,9,10,11,3,-3
770,1,8과 어떤 수를 모으면 10이 됩니까?,,MCQ,1,2,3,18,2,0
771,1,10을 두 수로 가르려고 합니다. 한 수가 3일 때 다른 수는?,,MCQ,6,7,8,13,2,3
772,2,10개씩 묶음 1개와 낱개 4개를 합한 수는?,,MCQ,14,41,104,5,1,-3
773,2,17은 10개씩 묶음 1개와 낱개 몇 개로 이루어집니까?,,MCQ,1개,7개,17개,70개,2,0
774,2,다음 중 십몇이 아닌 수는?,,MCQ,12,18,20,15,3,3
775,3,10개씩 묶음 3개인 수는?,,MCQ,3,13,30,33,3,-3
776,3,다음 중 몇십에 해당하는 수는?,,MCQ,25,30,33,42,2,0
777,3,50은 10개씩 묶음이 몇 개입니까?,,MCQ,1개,4개,5개,50개,3,3
778,10,53을 바르게 읽은 것은?,,MCQ,쉰셋,마흔셋,쉰넷,마흔다섯,1,-3
779,10,'여든둘'을 숫자로 쓴 것은?,,MCQ,28,38,72,82,4,0
780,10,78을 잘못 쓴 것은?,,MCQ,일흔여덟,칠십팔,78,87,4,3
781,11,65 바로 다음 수는?,,MCQ,64,66,67,75,2,-3
782,11,79와 81 사이에 있는 수는?,,MCQ,78,80,82,89,2,0
783,11,88보다 1 큰 수와 90보다 1 작은 수는 같습니까?,,MCQ,같다,88이 크다,90이 크다,알 수 없다,1,3
784,26,45와 54 중 더 큰 수는?,,MCQ,45,54,같다,모름,2,-3
785,26,다음 중 72보다 작은 수는?,,MCQ,73,75,80,70,4,0
786,26,다음 중 가장 큰 수는?,,MCQ,67,76,58,89,4,3
787,12,다음 중 짝수는?,,MCQ,1,3,5,8,4,-3
788,12,다음 중 홀수가 아닌 것은?,,MCQ,7,9,12,13,3,0
789,12,10보다 크고 20보다 작은 짝수 중 가장 작은 수는?,,MCQ,11,12,14,18,2,3
790,177,24+3은 얼마인가요?,,MCQ,25,26,27,28,3,-3
791,177,35+2는 얼마인가요?,,MCQ,36,37,38,55,2,0
792,177,41+□=46일 때 □에 알맞은 수는?,,MCQ,3,4,5,6,3,3
793,175,20+30은 얼마인가요?,,MCQ,40,50,60,23,2,-3
794,175,40+40은 얼마인가요?,,MCQ,60,70,80,90,3,0
795,175,60+□=90일 때 □에 알맞은 수는?,,MCQ,10,20,30,40,3,3
796,178,23+14는 얼마인가요?,,MCQ,36,37,38,39,2,-3
797,178,35+22는 얼마인가요?,,MCQ,56,57,58,67,2,0
798,178,41+25와 같은 값을 가지는 식은?,,MCQ,30+34,50+16,50+10,60+10,2,3
799,173,사과가 6개 있었는데 2개를 더 사 왔습니다. 사과는 모두 몇 개입니까?,,MCQ,6,7,8,9,3,-3
800,173,빨간 풍선 7개와 파란 풍선 5개가 있습니다. 풍선은 모두 몇 개입니까?,,MCQ,11,12,13,14,2,0
801,173,책상 위에 연필이 4자루 있고 필통 안에 연필이 6자루 있습니다. 연필은 모두 몇 자루입니까?,,MCQ,8,9,10,11,3,3
802,174,비둘기 8마리 중 3마리가 날아갔습니다. 남은 비둘기는 몇 마리입니까?,,MCQ,4,5,6,11,2,-3
803,174,공책이 12권 있었는데 5권을 친구에게 주었습니다. 남은 공책은 몇 권입니까?,,MCQ,6,7,8,17,2,0
804,174,사탕 15개에서 6개를 먹고 2개를 더 동생에게 주었습니다. 남은 사탕은 몇 개입니까?,,MCQ,6,7,8,9,2,3
805,827,책의 모양은 다음 중 어디에 속합니까?,,MCQ,네모,세모,동그라미,알 수 없다,1,-3
806,827,시계의 둥근 면은 어떤 모양과 가장 비슷합니까?,,MCQ,네모,세모,동그라미,별,3,0
807,827,다음 중 세모 모양과 가장 비슷한 것은?,,MCQ,동전,손수건,삼각자,액자,3,3
808,828,네모 모양에는 변이 모두 몇 개 있습니까?,,MCQ,2개,3개,4개,5개,3,-3
809,828,네모 모양의 꼭짓점은 모두 몇 개입니까?,,MCQ,2개,3개,4개,5개,3,0
810,828,다음 중 네모 모양이 아닌 것은?,,MCQ,우편엽서,액자,동화책,동전,4,3
811,830,세모 모양에는 변이 모두 몇 개 있습니까?,,MCQ,2개,3개,4개,5개,2,-3
812,830,세모 모양의 꼭짓점은 모두 몇 개입니까?,,MCQ,2개,3개,4개,5개,2,0
813,830,다음 중 세모 모양인 것은?,,MCQ,삼각자,동전,책,손수건,1,3
814,829,동그라미 모양의 꼭짓점은 모두 몇 개입니까?,,MCQ,0개,1개,2개,4개,1,-3
815,829,동그라미 모양에 대한 설명으로 알맞은 것은?,,MCQ,변이 4개이다,꼭짓점이 4개이다,둥글다,변이 3개이다,3,0
816,829,다음 중 동그라미 모양이 아닌 것은?,,MCQ,동전,시계,도넛,곧은 자,4,3
817,831,네모 모양을 두 개 이어 붙이면 어떤 모양이 됩니까?,,MCQ,더 큰 네모 모양,동그라미,세모,별,1,-3
818,831,세모 모양 두 개를 모으면 만들 수 있는 모양은?,,MCQ,더 큰 세모 모양이나 네모 모양,동그라미,별,십자가,1,0
819,831,네모 모양 한 개와 세모 모양 한 개로 만들 수 있는 모양은?,,MCQ,집 모양,둥근 공,별 모양,동그라미,1,3
820,187,곰돌이 인형 3개와 토끼 인형 2개가 있습니다. 인형은 모두 몇 개입니까?,,MCQ,3,4,5,6,3,-3
821,187,빨간 색종이 6장과 파란 색종이 4장이 있습니다. 색종이는 모두 몇 장입니까?,,MCQ,8,9,10,11,3,0
822,187,곰 인형 4개와 토끼 인형 3개와 강아지 인형 2개가 있습니다. 인형은 모두 몇 개입니까?,,MCQ,7,8,9,10,3,3
823,188,다음 식을 보고 빈칸의 값을 구하세요. 2+1=3 / 2+2=4 / 2+3=□,,MCQ,4,5,6,7,2,-3
824,188,3+1=4 / 3+2=5 / 3+3=6 일 때 3+4의 값은?,,MCQ,6,7,8,9,2,0
825,188,4+0=4 / 4+1=5 / 4+2=□ 일 때 □의 값은?,,MCQ,4,5,6,7,3,3
826,189,새 7마리 중에서 4마리가 날아갔습니다. 남은 새는 몇 마리입니까?,,MCQ,2,3,4,5,2,-3
827,189,사과 9개 중에서 5개를 먹었습니다. 남은 사과는 몇 개입니까?,,MCQ,3,4,5,6,2,0
828,189,풍선 13개 중에서 6개가 터지고 다시 2개를 더 받았습니다. 풍선은 몇 개 남았습니까?,,MCQ,7,8,9,10,3,3
829,190,5-0=5 / 5-1=4 / 5-2=□ 일 때 □의 값은?,,MCQ,2,3,4,5,2,-3
830,190,8-1=7 / 8-2=6 / 8-3=□ 일 때 □의 값은?,,MCQ,4,5,6,7,2,0
831,190,9-3=6 / 9-4=5 / 9-5=4 일 때 9-6의 값은?,,MCQ,2,3,4,5,2,3
832,201,10을 7과 어떤 수로 가르면 됩니까?,,MCQ,2,3,4,5,2,-3
833,201,10을 두 수로 가르려고 합니다. 한 수가 6일 때 다른 수는?,,MCQ,3,4,5,6,2,0
834,201,10에서 8을 빼는 것과 같은 의미를 가지는 가르기는?,,MCQ,10=7+3,10=8+2,10=5+5,10=9+1,2,3
835,13,10이 8개인 수는?,,MCQ,60,70,80,90,3,-3
836,13,90은 10이 몇 개인 수입니까?,,MCQ,7개,8개,9개,10개,3,0
837,13,"60, 70, 80, 90 중 가장 큰 수와 가장 작은 수의 차는?",,MCQ,10,20,30,40,3,3
838,27,99보다 1 큰 수는?,,MCQ,98,99,100,101,3,-3
839,27,10이 10개인 수는?,,MCQ,10,100,1000,1,2,0
840,27,90보다 10만큼 큰 수와 99보다 1만큼 큰 수는 같습니까?,,MCQ,같다,90이 크다,99가 크다,알 수 없다,1,3
841,28,5 □ 8 의 □에 알맞은 기호는?,,MCQ,<,>,=,+,1,-3
842,28,'15는 12보다 크다'를 기호로 나타내면?,,MCQ,15<12,15>12,15=12,15+12,2,0
843,28,다음 중 옳은 식은?,,MCQ,36>40,25<22,47>43,60=70,3,3
844,180,25-3은 얼마인가요?,,MCQ,21,22,23,28,2,-3
845,180,47-5는 얼마인가요?,,MCQ,41,42,43,52,2,0
846,180,36-□=33일 때 □에 알맞은 수는?,,MCQ,2,3,4,5,2,3
847,176,50-20은 얼마인가요?,,MCQ,20,30,40,70,2,-3
848,176,80-30은 얼마인가요?,,MCQ,40,50,60,110,2,0
849,176,90-□=20일 때 □에 알맞은 수는?,,MCQ,50,60,70,110,3,3
850,179,35-12는 얼마인가요?,,MCQ,22,23,24,33,2,-3
851,179,67-24는 얼마인가요?,,MCQ,41,42,43,91,3,0
852,179,50-25와 같은 값을 가지는 식은?,,MCQ,30-10,40-15,50-20,60-30,2,3
853,203,1+2+3은 얼마인가요?,,MCQ,4,5,6,7,3,-3
854,203,2+3+4는 얼마인가요?,,MCQ,7,8,9,10,3,0
855,203,1+2+□=9일 때 □에 알맞은 수는?,,MCQ,4,5,6,7,3,3
856,204,9-3-2는 얼마인가요?,,MCQ,3,4,5,6,2,-3
857,204,8-2-1은 얼마인가요?,,MCQ,4,5,6,7,2,0
858,204,10-4-3과 같은 값을 가지는 식은?,,MCQ,10-5,10-7,10-6,10-8,2,3
859,191,4+5는 얼마인가요?,,MCQ,7,8,9,10,3,-3
860,191,7+3은 얼마인가요?,,MCQ,9,10,11,13,2,0
861,191,6+□=11일 때 □에 알맞은 수는?,,MCQ,4,5,6,7,2,3
862,183,6+□=10일 때 □에 알맞은 수는?,,MCQ,2,3,4,5,3,-3
863,183,3+□=10일 때 □에 알맞은 수는?,,MCQ,6,7,8,9,2,0
864,183,다음 중 합이 10이 되지 않는 식은?,,MCQ,4+6,5+5,7+3,8+1,4,3
865,184,10-4는 얼마인가요?,,MCQ,4,5,6,7,3,-3
866,184,10-7은 얼마인가요?,,MCQ,2,3,4,17,2,0
867,184,10-□=2일 때 □에 알맞은 수는?,,MCQ,6,7,8,12,3,3
868,205,4+6+3 일 때 앞의 두 수를 먼저 더하면 얼마가 됩니까?,,MCQ,8,9,10,11,3,-3
869,205,(3+7)+5의 값은?,,MCQ,13,14,15,17,3,0
870,205,8+2+□=13일 때 □에 알맞은 수는?,,MCQ,2,3,4,5,2,3
871,206,5+(2+8)에서 뒤의 두 수를 먼저 더하면 얼마가 됩니까?,,MCQ,8,9,10,11,3,-3
872,206,6+(4+6)의 값은?,,MCQ,15,16,17,18,2,0
873,206,7+(3+□)에서 안쪽 합이 10이 되려면 □에 들어갈 수는?,,MCQ,5,6,7,8,3,3
874,1297,"짧은 바늘이 3을 가리키고 긴 바늘이 12를 가리킬 때, 시계가 나타내는 시각은?",,MCQ,1시,2시,3시,12시,3,-3
875,1297,짧은 바늘이 6을 가리키고 긴 바늘이 12를 가리키는 시각은?,,MCQ,5시,6시,7시,12시,2,0
876,1297,'8시'를 나타내는 시계에서 짧은 바늘이 가리키는 숫자는?,,MCQ,7,8,9,12,2,3
877,1298,"짧은 바늘이 2와 3 사이에, 긴 바늘이 6을 가리키는 시각은?",,MCQ,2시,2시 30분,3시,3시 30분,2,-3
878,1298,'5시 30분'에서 긴 바늘이 가리키는 숫자는?,,MCQ,3,6,9,12,2,0
879,1298,'7시 30분'에서 짧은 바늘이 가리키는 위치로 알맞은 것은?,,MCQ,7,7과 8 사이,8,6과 7 사이,2,3
880,644,"다음 수의 규칙으로 빈칸에 들어갈 수는? 2, 4, 6, □, 10",,MCQ,7,8,9,12,2,-3
881,644,"3, 6, 9, 12, □의 □에 알맞은 수는?",,MCQ,13,14,15,16,3,0
882,644,"▲, ●, ▲, ●, ▲, □ 의 □에 알맞은 모양은?",,MCQ,▲,●,◆,■,2,3
883,646,빨강-파랑-빨강-파랑이 반복되는 패턴에서 다섯 번째 색은?,,MCQ,빨강,파랑,노랑,초록,1,-3
884,646,○●○●○● 다음에 올 모양은?,,MCQ,○,●,△,◇,1,0
885,646,"'1, 2, 1, 2, 1, 2, 1' 다음에 올 두 수는?",,MCQ,1과 2,2와 1,2와 2,1과 1,2,3
886,645,"1, 3, 5, 7, □의 □에 알맞은 수는?",,MCQ,8,9,10,11,2,-3
887,645,"4, 8, 12, 16, □의 □에 알맞은 수는?",,MCQ,18,20,22,24,2,0
888,645,"50, 45, 40, 35, □의 □에 알맞은 수는?",,MCQ,25,30,35,40,2,3
889,192,8과 2를 모으면 얼마가 됩니까?,,MCQ,9,10,11,12,2,-3
890,192,10을 만들기 위해 4와 모아야 할 수는?,,MCQ,4,5,6,14,3,0
891,192,다음 중 두 수를 모으면 10이 되지 않는 짝은?,,MCQ,1과 9,5와 5,7과 3,6과 5,4,3
892,186,6+5는 얼마인가요?,,MCQ,9,10,11,12,3,-3
893,186,"6+5를 계산할 때 10을 만들기 위해 5를 어떻게 가를 수 있습니까?",,MCQ,4와 1,3와 2,1과 4,2와 3,1,0
894,186,6+5와 같은 값을 가지는 식은?,,MCQ,5+6,6+4,7+3,8+2,1,3
895,185,12-5는 얼마인가요?,,MCQ,5,6,7,8,3,-3
896,185,"12에서 5를 뺄 때, 먼저 12를 10과 2로 가른 후 10-5에 2를 더하면 얼마가 됩니까?",,MCQ,5,6,7,8,3,0
897,185,12-5와 같은 값을 가지는 식은?,,MCQ,14-7,13-5,11-3,16-10,1,3
898,835,오각형의 변은 모두 몇 개입니까?,,MCQ,3개,4개,5개,6개,3,-3
899,835,오각형의 꼭짓점은 모두 몇 개입니까?,,MCQ,3개,4개,5개,6개,3,0
900,835,변의 길이가 모두 같은 오각형의 변 한 개의 길이가 4 cm일 때 모든 변의 길이의 합은?,,MCQ,15 cm,18 cm,20 cm,25 cm,3,3
901,836,육각형의 변은 모두 몇 개입니까?,,MCQ,4개,5개,6개,7개,3,-3
902,836,육각형의 꼭짓점은 모두 몇 개입니까?,,MCQ,4개,5개,6개,7개,3,0
903,836,다음 중 육각형인 것은?,,MCQ,변이 5개인 도형,변이 6개인 도형,변이 7개인 도형,변이 4개인 도형,2,3
904,823,쌓기 나무 3개를 한 줄로 쌓았을 때 가장 위에는 몇 개의 쌓기 나무가 있습니까?,,MCQ,1개,2개,3개,4개,1,-3
905,823,쌓기 나무 4개를 위로만 쌓으면 어떤 모양이 됩니까?,,MCQ,한 줄 탑,사각형,두 층 사각형,알 수 없다,1,0
906,823,"1층에 쌓기 나무 3개를 일렬로 놓고, 2층에는 가장 왼쪽 1개만 놓았다면 쌓기 나무는 모두 몇 개입니까?",,MCQ,3개,4개,5개,6개,2,3
907,199,17+8을 계산할 때 17을 10과 7로 가른 후 7+8=15에 10을 더하면 얼마인가요?,,MCQ,24,25,26,27,2,-3
908,199,26+7을 계산하면?,,MCQ,32,33,34,35,2,0
909,199,18+25를 계산하는 방법으로 알맞지 않은 것은?,,MCQ,18을 20과 2로 가르고 25에 2를 더한 후 20을 더한다,25를 30과 5로 가르고 18에 5를 더한다,18+25를 그대로 자릿수 별로 계산한다,18에서 25를 뺀다,4,3
910,200,23-7을 계산할 때 23을 20과 3으로 가른 후 20-7=13에 3을 더하면 얼마인가요?,,MCQ,14,15,16,17,3,-3
911,200,45-18을 계산하면?,,MCQ,25,26,27,28,3,0
912,200,50-26과 같은 값을 가지는 식은?,,MCQ,40-16,50-30,60-30,30-20,1,3
913,1444,"동물, 식물, 곤충을 분류 기준으로 정할 때 토끼는 어디에 들어갑니까?",,MCQ,동물,식물,곤충,어디에도 없다,1,-3
914,1444,"색깔로 분류했을 때 빨간색 사과 4개, 노란색 사과 3개가 있다면 사과는 모두 몇 개입니까?",,MCQ,5,6,7,8,3,0
915,1444,"모양 기준으로 네모 5개, 세모 3개, 동그라미 2개로 분류했다면 가장 적은 모양은?",,MCQ,네모,세모,동그라미,같다,3,3
916,14,90보다 10 큰 수는?,,MCQ,80,95,100,110,3,-3
917,14,100은 90보다 얼마나 더 큰 수입니까?,,MCQ,1,5,10,100,3,0
918,14,90+10과 100-10 중 어느 것이 더 큽니까?,,MCQ,90+10,100-10,같다,알 수 없다,1,3
919,15,100이 3개인 수는?,,MCQ,30,130,300,3000,3,-3
920,15,500은 100이 몇 개인 수입니까?,,MCQ,3개,4개,5개,50개,3,0
921,15,다음 중 몇백인 수는?,,MCQ,250,600,425,718,2,3
922,16,"100이 2개, 10이 3개, 낱개 5개인 수는?",,MCQ,235,325,532,253,1,-3
923,16,471에서 백의 자리 숫자는?,,MCQ,1,4,7,471,2,0
924,16,"100이 4개, 10이 0개, 낱개 7개인 수는?",,MCQ,47,407,470,4007,2,3
925,17,927에서 9는 어느 자리의 숫자입니까?,,MCQ,일의 자리,십의 자리,백의 자리,천의 자리,3,-3
926,17,927에서 백의 자리 숫자는 얼마를 나타냅니까?,,MCQ,9,90,900,9000,3,0
927,17,927에서 십의 자리 숫자 2가 나타내는 값은?,,MCQ,2,20,200,2000,2,3
928,29,"100, 110, 120, □ 일 때 □에 알맞은 수는?",,MCQ,121,125,130,200,3,-3
929,29,"200부터 100씩 뛰어 세면 200, 300, 400, □ 입니다. □는?",,MCQ,410,450,500,600,3,0
930,29,350에서 50씩 3번 뛰어 세면 얼마가 됩니까?,,MCQ,450,500,550,600,2,3
931,30,345와 543 중 더 큰 수는?,,MCQ,345,543,같다,모름,2,-3
932,30,다음 중 가장 큰 수는?,,MCQ,281,218,182,128,1,0
933,30,7□3 < 753 이 성립하려면 □에 들어갈 수 있는 가장 큰 수는?,,MCQ,4,5,6,7,1,3
934,832,원에 대한 설명으로 옳은 것은?,,MCQ,변이 있다,꼭짓점이 있다,둥글다,직선이다,3,-3
935,832,원의 모양과 가장 비슷한 사물은?,,MCQ,책,동전,휴지,자,2,0
936,832,다음 중 원이 아닌 것은?,,MCQ,동전,시계 둘레,보름달,손수건,4,3
937,833,삼각형의 변은 모두 몇 개입니까?,,MCQ,2개,3개,4개,5개,2,-3
938,833,삼각형의 꼭짓점은 모두 몇 개입니까?,,MCQ,2개,3개,4개,5개,2,0
939,833,다음 중 삼각형이 아닌 것은?,,MCQ,삼각자,변이 3개인 도형,정사각형,꼭짓점이 3개인 도형,3,3
940,834,사각형의 변은 모두 몇 개입니까?,,MCQ,3개,4개,5개,6개,2,-3
941,834,사각형의 꼭짓점은 모두 몇 개입니까?,,MCQ,3개,4개,5개,6개,2,0
